key,code,instantiation-moment,heading,description,department,email,link
claim-01,C-0000,2022/07/23 00:00,test,test,test,null,null
claim-02,C-0001,2022/07/22 23:59,test,test,test,null,null
claim-03,C-0002,2022/07/23 00:00,a,test,test,null,null
claim-04,C-0003,2022/07/23 00:00,aaaaaaaaaaa,test,test,null,null
claim-05,C-0004,2022/07/23 00:00,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,test,test,null,null
claim-06,C-0005,2022/07/23 00:00,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,test,test,null,null
claim-07,C-0006,2022/07/23 00:00,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,test,test,null,null
claim-08,C-0007,2022/07/23 00:00,test,a,test,null,null
claim-09,C-0008,2022/07/23 00:00,test,aaaaaaaaaaa,test,null,null
claim-10,C-0009,2022/07/23 00:00,test,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,test,null,null
claim-11,C-0010,2022/07/23 00:00,test,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,test,null,null
claim-12,C-0011,2022/07/23 00:00,test,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,test,null,null
claim-13,C-0012,2022/07/23 00:00,test,test,a,null,null
claim-14,C-0013,2022/07/23 00:00,test,test,aaaaaaaaaaa,null,null
claim-15,C-0014,2022/07/23 00:00,test,test,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,null,null
claim-16,C-0015,2022/07/23 00:00,test,test,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,null,null
claim-17,C-0016,2022/07/23 00:00,test,test,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,null,null
claim-18,C-0017,2022/07/23 00:00,test,test,test,test@gmail.com,null
claim-19,C-0018,2022/07/23 00:00,test,test,test,null,https://www.google.com/
claim-20,C-0019,2022/07/23 00:00,test,test,test,null,http://example.com/example.html?test=1#seccion
claim-21,C-0020,2022/07/23 00:00,test,test,test,null,https://es.images.search.yahoo.com/
