key,title,description,estimated-cost,acceptance-criteria,priority,link,key:manager,published
user-story-01,A,A,1,Sample,MUST,null,manager-01,true
user-story-02,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,A,1,Sample,MUST,null,manager-01,true
user-story-03,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,A,1,Sample,MUST,null,manager-01,true
user-story-04,aaaaaaaaaaaaaaaaaaaa,A,1,Sample,MUST,null,manager-01,true
user-story-05,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,A,1,Sample,MUST,null,manager-01,false
user-story-06,A,A,1,Sample,MUST,null,manager-01,false
user-story-07,A,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,1,Sample,MUST,null,manager-01,false
user-story-08,A,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,1,Sample,MUST,null,manager-01,false
user-story-09,A,aaaaaaaaaaaaaaaaaaaa,1,Sample,MUST,null,manager-01,false
user-story-10,A,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,1,Sample,MUST,null,manager-01,false
user-story-11,A,A,1,Sample,MUST,null,manager-01,false
user-story-12,A,A,25000,Sample,MUST,null,manager-01,false
user-story-13,A,A,50000,Sample,MUST,null,manager-01,false
user-story-14,A,A,75000,Sample,MUST,null,manager-01,false
user-story-15,A,A,100000,Sample,MUST,null,manager-01,false
user-story-16,A,A,1,A,MUST,null,manager-01,false
user-story-17,A,A,1,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,MUST,null,manager-01,false
user-story-18,A,A,1,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,MUST,null,manager-01,false
user-story-19,A,A,1,aaaaaaaaaaaaaaaaaaaa,MUST,null,manager-01,false
user-story-20,A,A,1,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,MUST,null,manager-01,false
user-story-21,A,A,1,Sample,MUST,null,manager-01,false
user-story-22,A,A,1,Sample,SHOULD,null,manager-01,false
user-story-23,A,A,1,Sample,COULD,null,manager-01,false
user-story-24,A,A,1,Sample,WONT,null,manager-01,false
user-story-26,A,A,1,Sample,MUST,https://www.google.com/,manager-01,false
user-story-27,A,A,1,Sample,MUST,http://www.prueba.com/,manager-01,false
user-story-28,A,A,1,Sample,MUST,https://www.example.com/abcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwx,manager-02,false
user-story-29,A,A,1,Sample,MUST,null,manager-02,true
user-story-30,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,A,1,Sample,MUST,null,manager-02,true
user-story-31,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,A,1,Sample,MUST,null,manager-02,true
user-story-32,aaaaaaaaaaaaaaaaaaaa,A,1,Sample,MUST,null,manager-02,true
user-story-33,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,A,1,Sample,MUST,null,manager-02,false
user-story-34,A,A,1,Sample,MUST,null,manager-02,false
user-story-35,A,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,1,Sample,MUST,null,manager-02,false
user-story-36,A,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,1,Sample,MUST,null,manager-02,false
user-story-37,A,aaaaaaaaaaaaaaaaaaaa,1,Sample,MUST,null,manager-02,false
user-story-38,A,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,1,Sample,MUST,null,manager-02,false
user-story-39,A,A,1,Sample,MUST,null,manager-02,false
user-story-40,A,A,25000,Sample,MUST,null,manager-02,false
user-story-41,A,A,50000,Sample,MUST,null,manager-02,false
user-story-42,A,A,75000,Sample,MUST,null,manager-02,false
user-story-43,A,A,100000,Sample,MUST,null,manager-02,false
user-story-44,A,A,1,A,MUST,null,manager-02,false
user-story-45,A,A,1,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,MUST,null,manager-02,false
user-story-46,A,A,1,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,MUST,null,manager-02,false
user-story-47,A,A,1,aaaaaaaaaaaaaaaaaaaa,MUST,null,manager-02,false
user-story-48,A,A,1,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,MUST,null,manager-02,false
user-story-49,A,A,1,Sample,MUST,null,manager-02,false
user-story-50,A,A,1,Sample,SHOULD,null,manager-02,false
user-story-51,A,A,1,Sample,COULD,null,manager-02,false
user-story-52,A,A,1,Sample,WONT,null,manager-02,false
user-story-53,A,A,1,Sample,MUST,https://www.google.com/,manager-02,false
user-story-54,A,A,1,Sample,MUST,http://www.prueba.com/,manager-02,false
user-story-55,A,A,1,Sample,MUST,https://www.example.com/abcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwx,manager-02,false
