key,key:project,key:user-story
assignment-01,project-01,user-story-01
assignment-02,project-01,user-story-02
assignment-03,project-01,user-story-03
assignment-04,project-01,user-story-04
assignment-05,project-02,user-story-01
assignment-06,project-02,user-story-02
assignment-07,project-03,user-story-03
assignment-08,project-04,user-story-04
assignment-09,project-16,user-story-01
assignment-10,project-17,user-story-01
assignment-11,project-18,user-story-01
assignment-12,project-19,user-story-01
assignment-13,project-20,user-story-01
assignment-14,project-21,user-story-01
assignment-15,project-22,user-story-01
assignment-16,project-23,user-story-01
assignment-17,project-40,user-story-01
assignment-18,project-41,user-story-01
assignment-19,project-42,user-story-01
assignment-20,project-43,user-story-01
assignment-21,project-44,user-story-01
assignment-22,project-45,user-story-01
assignment-23,project-46,user-story-01
assignment-24,project-05,user-story-05
assignment-25,project-47,user-story-01
