key,code,title,abstract-info,cost,link,key:manager,indication,published
project-01,PRJ-0001,A,A,EUR 0.00,null,manager-01,false,true
project-02,PRJ-0002,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,A,EUR 0.00,null,manager-01,false,true
project-03,PRJ-0003,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,A,EUR 0.00,null,manager-01,false,false
project-04,PRJ-0004,aaaaaaaaaaaaaaaaaaaa,A,EUR 0.00,null,manager-01,false,false
project-05,PRJ-0005,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,A,EUR 0.00,null,manager-01,false,false
project-06,PRJ-0006,A,A,EUR 0.00,null,manager-01,false,false
project-07,PRJ-0007,A,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,EUR 0.00,null,manager-01,false,false
project-08,PRJ-0008,A,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,EUR 0.00,null,manager-01,false,false
project-09,PRJ-0009,A,aaaaaaaaaaaaaaaaaaaa,EUR 0.00,null,manager-01,false,false
project-10,PRJ-0010,A,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,EUR 0.00,null,manager-01,false,false
project-11,PRJ-0011,A,A,EUR 0.00,null,manager-01,false,false
project-12,PRJ-0012,A,A,GBP 0.00,null,manager-01,false,false
project-13,PRJ-0013,A,A,YEN 0.00,null,manager-01,false,false
project-14,PRJ-0014,A,A,USD 0.00,null,manager-01,false,false
project-15,PRJ-0015,A,A,EUR 0.00,null,manager-01,false,false
project-16,PRJ-0016,A,A,"EUR 2,500,000,000.00",null,manager-01,false,true
project-17,PRJ-0017,A,A,"EUR 5,000,000,000.00",null,manager-01,false,true
project-18,PRJ-0018,A,A,"EUR 7,500,000,000.00",null,manager-01,false,true
project-19,PRJ-0019,A,A,"EUR 9,999,999,999.00",null,manager-01,false,true
project-20,PRJ-0020,A,A,"EUR 9,999,999,999.25",null,manager-01,false,true
project-21,PRJ-0021,A,A,"EUR 9,999,999,999.50",null,manager-01,false,true
project-22,PRJ-0022,A,A,"EUR 9,999,999,999.75",null,manager-01,false,true
project-23,PRJ-0023,A,A,"EUR 9,999,999,999.99",null,manager-01,false,true
