key,instantiation-moment,title,description,priority,critical,duration-start,duration-finish,more-info
objective-01,2020/03/24 00:00,"adios","hola",LOW,true,2020/03/25 00:00,2020/03/30 15:30,"https://app.clockify.me/tracker"
objective-02,2020/03/24 23:59,"adios","hola",LOW,true,2020/03/25 00:00,2020/03/30 15:30,"https://app.clockify.me/tracker"
objective-03,2020/03/24 23:59,"b","hola",LOW,true,2020/03/25 00:00,2020/03/30 15:30,"https://app.clockify.me/tracker"
objective-04,2020/03/24 23:59,"bbbbbbbbbbb","hola",LOW,true,2020/03/25 00:00,2020/03/30 15:30,"https://app.clockify.me/tracker"
objective-05,2020/03/24 23:59,"bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb","hola",LOW,true,2020/03/25 00:00,2020/03/30 15:30,"https://app.clockify.me/tracker"
objective-06,2020/03/24 23:59,"bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb","hola",LOW,true,2020/03/25 00:00,2020/03/30 15:30,"https://app.clockify.me/tracker"
objective-07,2020/03/24 23:59,"bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb","hola",LOW,true,2020/03/25 00:00,2020/03/30 15:30,"https://app.clockify.me/tracker"
objective-08,2020/03/24 23:59,"adios","b",LOW,true,2020/03/25 00:00,2020/03/30 15:30,"https://app.clockify.me/tracker"
objective-09,2020/03/24 23:59,"adios","bbbbbbbbbbb",LOW,true,2020/03/25 00:00,2020/03/30 15:30,"https://app.clockify.me/tracker"
objective-10,2020/03/24 23:59,"adios","bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb",LOW,true,2020/03/25 00:00,2020/03/30 15:30,"https://app.clockify.me/tracker"
objective-11,2020/03/24 23:59,"adios","bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb",LOW,true,2020/03/25 00:00,2020/03/30 15:30,"https://app.clockify.me/tracker"
objective-12,2020/03/24 23:59,"adios","bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb",LOW,true,2020/03/25 00:00,2020/03/30 15:30,"https://app.clockify.me/tracker"
objective-13,2020/03/24 23:59,"adios","hola",MEDIUM,true,2020/03/25 00:00,2020/03/30 15:30,"https://app.clockify.me/tracker"
objective-14,2020/03/24 23:59,"adios","hola",HIGH,true,2020/03/25 00:00,2020/03/30 15:30,"https://app.clockify.me/tracker"
objective-15,2020/03/24 23:59,"adios","hola",LOW,true,2020/03/25 00:00,2020/03/30 15:30,"https://app.clockify.me/tracker"
objective-16,2020/03/24 23:59,"adios","hola",LOW,false,2020/03/25 00:00,2020/03/30 15:30,"https://app.clockify.me/tracker"
objective-17,2020/03/24 23:59,"adios","hola",LOW,true,2020/03/25 00:00,2020/03/25 01:00,"https://app.clockify.me/tracker"
objective-18,2020/03/24 23:59,"adios","hola",LOW,true,2020/03/25 00:00,2020/03/25 01:01,"https://app.clockify.me/tracker"
objective-19,2020/03/24 23:59,"adios","hola",LOW,true,2020/03/25 00:00,2022/07/29 23:59,"https://app.clockify.me/tracker"
objective-20,2020/03/24 23:59,"adios","hola",LOW,true,2020/03/25 00:00,2022/07/30 00:00,"https://app.clockify.me/tracker"
objective-21,2020/03/24 00:00,"adios","hola",LOW,true,2020/03/25 00:00,2020/03/30 15:30,""
objective-22,2020/03/24 00:00,"adios","hola",LOW,true,2020/03/25 00:00,2020/03/30 15:30,null
objective-23,2020/03/24 00:00,"adios","hola",LOW,true,2020/03/25 00:00,2020/03/30 15:30,"https://github.com/andpizcer/DP2-C1.032"
objective-24,2020/03/24 00:00,"adios","hola",LOW,true,2020/03/25 00:00,2020/03/30 15:30,"https://www.wikipedia.org/"
objective-25,2020/03/24 00:00,"adios","hola",LOW,true,2020/03/25 00:00,2020/03/30 15:30,"http://www.amazon.com/"
